2019-04-05 14:47:44,493 INFO  [org.jboss.modules] (main) JBoss Modules version 1.6.1.Final
2019-04-05 14:47:44,809 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.7.SP1
2019-04-05 14:47:44,865 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) starting
2019-04-05 14:47:45,619 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=native-interface' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:47:45,620 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:47:45,695 INFO  [org.wildfly.security] (Controller Boot Thread) ELY00001: WildFly Elytron version 1.1.6.Final
2019-04-05 14:47:45,743 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2019-04-05 14:47:45,748 INFO  [org.xnio] (MSC service thread 1-3) XNIO version 3.5.4.Final
2019-04-05 14:47:45,756 INFO  [org.xnio.nio] (MSC service thread 1-3) XNIO NIO Implementation Version 3.5.4.Final
2019-04-05 14:47:45,906 INFO  [org.jboss.as.patching] (MSC service thread 1-8) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
2019-04-05 14:47:45,933 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-8) WFLYDM0111: Keystore E:\FAKS\Materijali - AT\2019\Project Workspace\ServerCluster\MasterServer\domain\configuration\application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2019-04-05 14:47:46,088 INFO  [org.jboss.remoting] (MSC service thread 1-5) JBoss Remoting version 5.0.5.Final
2019-04-05 14:47:46,115 INFO  [org.jboss.as.remoting] (MSC service thread 1-2) WFLYRMT0001: Listening on 127.1.1.1:9999
2019-04-05 14:47:47,430 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=default/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:47:47,487 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:47:47,524 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:47:47,562 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full-ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:47:47,828 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2019-04-05 14:47:51,621 INFO  [org.jboss.as.host.controller] (management task-7) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 64a5a3e3 (inbound) of Remoting connection 26246cad to 127.0.0.1/127.0.0.1:53073 of endpoint "master:MANAGEMENT" <68a1003a>]
2019-04-05 14:47:51,674 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2019-04-05 14:47:51,698 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2019-04-05 14:47:56,670 INFO  [org.jboss.as.host.controller] (management task-2) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 48b24988 (inbound) of Remoting connection 78af91a6 to 127.0.0.1/127.0.0.1:53150 of endpoint "master:MANAGEMENT" <68a1003a>]
2019-04-05 14:47:56,704 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
2019-04-05 14:47:56,766 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.1.1.1:9990/management and https://127.1.1.1:-1/management
2019-04-05 14:47:56,767 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.1.1.1:9990 and https://127.1.1.1:-1
2019-04-05 14:47:56,767 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) (Host Controller) started in 12740ms - Started 77 of 80 services (24 services are lazy, passive or on-demand)
2019-04-05 14:47:58,302 INFO  [org.jboss.as.domain.controller] (Host Controller Service Threads - 6) WFLYHC0019: Registered remote slave host "slave", JBoss WildFly Full 11.0.0.Final (WildFly 3.0.8.Final)
2019-04-05 14:48:25,108 INFO  [org.jboss.as.host.controller] (main) WFLYHC0179: ProcessController has signalled to shut down; shutting down
2019-04-05 14:48:25,246 WARN  [org.jboss.as.domain.controller] (MSC service thread 1-6) WFLYHC0030: Connection to remote host "slave" closed unexpectedly
2019-04-05 14:48:25,253 INFO  [org.jboss.as.host.controller] (MSC service thread 1-6) WFLYHC0027: Unregistering server server-one
2019-04-05 14:48:25,261 INFO  [org.jboss.as.host.controller] (MSC service thread 1-6) WFLYHC0027: Unregistering server server-two
2019-04-05 14:48:25,351 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0050: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) stopped in 125ms
