2019-04-05 14:22:48,758 INFO  [org.jboss.modules] (main) JBoss Modules version 1.6.1.Final
2019-04-05 14:22:49,296 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.7.SP1
2019-04-05 14:22:49,355 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) starting
2019-04-05 14:22:51,063 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=slave/core-service=management/management-interface=native-interface' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:22:51,066 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=slave/core-service=management/management-interface=http-interface' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:22:51,068 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:22:51,147 INFO  [org.wildfly.security] (Controller Boot Thread) ELY00001: WildFly Elytron version 1.1.6.Final
2019-04-05 14:22:51,194 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2019-04-05 14:22:51,204 INFO  [org.xnio] (MSC service thread 1-8) XNIO version 3.5.4.Final
2019-04-05 14:22:51,211 INFO  [org.xnio.nio] (MSC service thread 1-8) XNIO NIO Implementation Version 3.5.4.Final
2019-04-05 14:22:51,306 INFO  [org.jboss.as.patching] (MSC service thread 1-3) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
2019-04-05 14:22:51,336 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-6) WFLYDM0111: Keystore E:\FAKS\Materijali - AT\2019\Project Workspace\ServerCluster\SlaveServer\domain\configuration\application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2019-04-05 14:22:51,488 INFO  [org.jboss.remoting] (MSC service thread 1-8) JBoss Remoting version 5.0.5.Final
2019-04-05 14:22:52,197 INFO  [org.jboss.as.remoting] (MSC service thread 1-7) WFLYRMT0001: Listening on 127.1.1.2:9999
2019-04-05 14:23:05,591 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 8) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full-ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:23:05,693 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 8) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2019-04-05 14:23:05,849 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0148: Connected to master host controller at remote://127.1.1.1:9999
2019-04-05 14:23:05,895 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2019-04-05 14:23:09,252 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 1e5c6d6c (inbound) of Remoting connection 0f9b5bd9 to 127.0.0.1/127.0.0.1:52653 of endpoint "slave:MANAGEMENT" <1c55c995>]
2019-04-05 14:23:09,293 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2019-04-05 14:23:09,308 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2019-04-05 14:23:14,551 INFO  [org.jboss.as.host.controller] (management task-5) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 524492ac (inbound) of Remoting connection 6bce6102 to 127.0.0.1/127.0.0.1:52680 of endpoint "slave:MANAGEMENT" <1c55c995>]
2019-04-05 14:23:14,579 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
2019-04-05 14:23:14,604 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.1.1.2:9990/management and https://127.1.1.2:-1/management
2019-04-05 14:23:14,604 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0054: Admin console is not enabled
2019-04-05 14:23:14,604 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) (Host Controller) started in 29372ms - Started 76 of 79 services (25 services are lazy, passive or on-demand)
2019-04-05 14:47:31,295 WARN  [org.jboss.as.host.controller] (management task-9) WFLYHC0015: Connection to remote host-controller closed. Trying to reconnect.
2019-04-05 14:47:31,303 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 3) WFLYHC0150: Trying to reconnect to master host controller.
2019-04-05 14:47:35,643 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 3) WFLYHC0150: Trying to reconnect to master host controller.
2019-04-05 14:47:42,946 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 3) WFLYHC0150: Trying to reconnect to master host controller.
2019-04-05 14:47:56,449 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 3) WFLYHC0150: Trying to reconnect to master host controller.
2019-04-05 14:47:58,304 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 3) WFLYHC0148: Connected to master host controller at remote://127.1.1.1:9999
2019-04-05 14:48:25,250 WARN  [org.jboss.as.host.controller] (management task-10) WFLYHC0015: Connection to remote host-controller closed. Trying to reconnect.
2019-04-05 14:48:25,257 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 3) WFLYHC0150: Trying to reconnect to master host controller.
2019-04-05 14:48:26,303 INFO  [org.jboss.as.host.controller] (main) WFLYHC0179: ProcessController has signalled to shut down; shutting down
2019-04-05 14:48:26,759 INFO  [org.jboss.as.host.controller] (management task-3) WFLYHC0027: Unregistering server server-one
2019-04-05 14:48:26,975 INFO  [org.jboss.as.host.controller] (management task-5) WFLYHC0027: Unregistering server server-two
2019-04-05 14:48:27,918 INFO  [org.jboss.as] (MSC service thread 1-8) WFLYSRV0050: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) stopped in 1599ms
